# id,x,y,weight,priority,time_start,time_end
1,5,5,2.0,3,09:00,10:00
2,8,12,1.5,2,09:30,11:00
3,15,3,2.2,4,09:00,10:30
4,18,8,1.8,1,09:15,10:45
5,3,18,2.5,5,09:00,11:00
6,7,17,1.2,2,09:00,10:30
7,12,15,2.0,3,09:30,11:00
8,17,18,1.7,4,09:00,10:00
9,19,5,2.3,2,09:00,10:30
10,2,8,1.9,1,09:15,10:45
11,6,14,2.1,5,09:00,11:00
12,13,2,1.4,2,09:00,10:30
13,16,7,2.0,3,09:30,11:00
14,1,16,1.8,4,09:00,10:00
15,9,19,2.2,2,09:00,10:30
16,14,13,1.6,1,09:15,10:45
17,11,6,2.4,5,09:00,11:00
18,4,2,1.3,2,09:00,10:30
19,18,16,2.0,3,09:30,11:00
20,20,10,1.7,4,09:00,10:00 
