# id,x,y,weight,priority,time_start,time_end
1,15,25,1.5,3,09:00,10:00
2,30,40,2.0,5,09:00,09:30
3,70,80,3.0,2,09:20,10:20
4,90,10,1.0,4,09:10,09:40
5,45,60,4.0,1,09:30,10:30
6,25,15,2.5,3,09:00,09:50
7,60,30,1.0,5,09:05,09:25
8,85,90,3.5,2,09:40,11:00
9,10,80,2.0,4,09:15,09:45
10,95,50,1.5,3,09:00,10:00
11,55,20,0.5,5,09:00,09:20
12,35,75,2.0,1,09:50,11:00
13,75,40,3.0,3,09:10,09:50
14,20,90,1.5,4,09:30,10:10
15,65,65,4.5,2,09:25,10:15
16,40,10,2.0,5,09:00,09:30
17,5,50,1.0,3,09:15,09:55
18,50,85,3.0,1,10:00,11:00
19,80,70,2.5,4,09:20,10:00
20,30,55,1.5,2,09:40,10:20 
