# id,x,y,weight,priority,time_start,time_end
1,20,30,2.0,3,09:00,10:00
2,40,50,1.5,5,09:30,11:00
3,15,45,2.5,4,09:15,10:30
4,35,25,1.8,3,09:45,11:15
5,50,40,2.2,5,10:00,11:30
6,25,15,1.6,4,09:30,10:45
7,45,35,2.3,3,10:15,11:45
8,10,20,1.9,5,09:00,10:15
9,30,55,2.1,4,09:45,11:00
10,55,25,1.7,3,10:30,12:00
11,5,40,2.4,5,09:15,10:30
12,40,10,1.8,4,09:30,10:45
13,20,50,2.0,3,10:00,11:15
14,50,30,1.9,5,09:45,11:00
15,15,35,2.2,4,09:00,10:15
16,35,45,1.7,3,10:15,11:30
17,45,20,2.3,5,09:30,10:45
18,25,40,1.8,4,09:45,11:00
19,55,15,2.1,3,10:00,11:15
20,10,30,1.9,5,09:15,10:30
21,30,25,2.0,4,09:30,10:45
22,40,55,1.7,3,10:15,11:30
23,20,10,2.2,5,09:00,10:15
24,50,45,1.8,4,09:45,11:00
25,15,25,2.3,3,10:00,11:15
26,35,35,1.9,5,09:15,10:30
27,45,50,2.0,4,09:30,10:45
28,25,20,1.7,3,10:15,11:30
29,55,40,2.1,5,09:00,10:15
30,10,45,1.8,4,09:45,11:00
31,30,15,2.2,3,10:00,11:15
32,40,30,1.9,5,09:15,10:30
33,20,55,2.0,4,09:30,10:45
34,50,20,1.7,3,10:15,11:30
35,15,30,2.3,5,09:00,10:15
36,35,40,1.8,4,09:45,11:00
37,45,25,2.1,3,10:00,11:15
38,25,50,1.9,5,09:15,10:30
39,55,35,2.0,4,09:30,10:45
40,10,15,1.7,3,10:15,11:30
41,30,45,2.2,5,09:00,10:15
42,40,20,1.8,4,09:45,11:00
43,20,35,2.3,3,10:00,11:15
44,50,55,1.9,5,09:15,10:30
45,15,40,2.0,4,09:30,10:45
46,35,30,1.7,3,10:15,11:30
47,45,45,2.1,5,09:00,10:15
48,25,25,1.8,4,09:45,11:00
49,55,50,2.2,3,10:00,11:15
50,10,35,1.9,5,09:15,10:30 
