# id,x,y,weight,priority,time_start,time_end
1,74,72,1.6,5,09:00,10:00
2,7,60,4.2,1,09:05,10:05
3,63,26,2.8,2,09:33,10:33
4,20,32,3.3,5,09:37,10:37
5,9,26,1.2,5,09:37,10:37
6,61,89,1.8,2,09:39,10:39
7,78,92,2.2,4,09:10,10:10
8,12,46,0.5,1,09:14,10:14
9,13,56,1.2,2,09:12,10:12
10,65,70,2.5,1,09:12,10:12
11,59,93,1.5,4,09:49,10:49
12,12,30,3.1,3,09:44,10:44
13,63,25,2.6,4,09:41,10:41
14,50,89,4.2,3,09:37,10:37
15,2,42,2.0,3,09:13,10:13
16,23,60,3.8,5,09:54,10:54
17,43,91,1.1,4,09:50,10:50
18,70,3,0.6,4,09:46,10:46
19,71,60,3.2,5,09:12,10:12
20,95,93,4.7,3,09:42,10:42
21,74,52,2.5,5,09:58,10:58
22,96,70,3.9,2,09:11,10:11
23,47,51,4.8,2,09:54,10:54
24,74,46,0.8,2,09:16,10:16
25,55,22,4.6,3,09:52,10:52
26,31,4,4.3,4,09:39,10:39
27,33,25,4.3,4,09:28,10:28
28,41,37,2.3,5,09:26,10:26
29,90,0,2.9,4,09:27,10:27
30,92,60,0.8,4,09:43,10:43
31,81,57,3.3,1,09:14,10:14
32,87,60,2.9,2,09:57,10:57
33,39,44,3.4,3,09:49,10:49
34,41,2,2.3,1,09:21,10:21
